QoM,Speed,Acc,TiE,Flow,qomFiltered,timeEffortFiltered,flowFiltered
46.305702,0.0,0.0,412.28085,768.65283,56.034447,415.02075,842.1377
72.62528,0.0,0.0,299.2347,689.0941,70.8921,415.02075,799.7859
72.02517,0.0,0.0,366.54263,259.698,70.8921,415.02075,768.65283
72.02517,0.0,0.0,135.4486,494.83643,72.02517,412.28085,689.0941
47.199974,0.0,0.0,677.1974,496.15543,72.02517,412.28085,689.0941
47.199974,0.0,0.0,188.7999,504.9262,70.8921,412.28085,582.3625
105.86799,0.0,0.0,585.1468,694.11066,72.02517,412.28085,582.3625
25.094341,0.0,0.0,912.8756,219.45981,72.02517,412.28085,504.9262
124.988846,0.0,0.0,499.95538,372.74744,72.02517,499.95538,504.9262
124.988846,0.0,0.0,499.95538,464.98557,72.02517,499.95538,496.15543
109.016136,0.0,0.0,570.3308,592.1352,72.62528,499.95538,496.15543
109.016136,0.0,0.0,570.3308,387.65912,105.86799,570.3308,494.83643
30.451693,0.0,0.0,121.80677,352.2741,105.86799,570.3308,494.83643
25.942286,0.0,0.0,157.95871,640.63635,105.86799,570.3308,496.15543
25.942286,0.0,0.0,157.95871,640.63635,105.86799,499.95538,504.9262
25.942286,0.0,0.0,157.95871,357.485,105.86799,499.95538,464.98557
13.29918,0.0,0.0,37.48333,224.54771,30.451693,499.95538,387.65912
13.29918,0.0,0.0,37.48333,224.54771,30.451693,157.95871,387.65912
13.29918,0.0,0.0,37.48333,224.54771,25.942286,157.95871,387.65912
9.019968,0.0,0.0,67.36662,272.49768,25.942286,157.95871,357.485
9.019968,0.0,0.0,67.36662,286.45932,25.942286,121.80677,352.2741
9.019968,0.0,0.0,67.36662,286.45932,13.29918,67.36662,286.45932
11.339147,0.0,0.0,45.356586,253.31033,13.29918,67.36662,286.45932
13.095704,0.0,0.0,41.87858,257.0731,13.29918,67.36662,272.49768
13.095704,0.0,0.0,41.87858,257.0731,13.095704,45.356586,257.0731
24.331347,0.0,0.0,97.325386,143.84843,13.095704,45.356586,257.0731
24.331347,0.0,0.0,116.40848,96.33098,13.095704,67.36662,257.0731
24.331347,0.0,0.0,116.40848,96.33098,13.095704,67.36662,257.0731
24.331347,0.0,0.0,97.325386,53.761734,13.095704,67.36662,257.0731
28.184929,0.0,0.0,87.869,146.5176,24.331347,87.869,253.31033
28.184929,0.0,0.0,87.869,146.5176,24.331347,87.869,146.5176
4.830212,0.0,0.0,19.320848,130.19254,24.331347,87.869,146.5176
28.076641,0.0,0.0,132.22244,153.00891,24.331347,97.325386,146.5176
28.076641,0.0,0.0,132.22244,186.38385,24.331347,97.325386,146.5176
28.076641,0.0,0.0,132.22244,218.57619,28.076641,116.40848,146.5176
30.138348,0.0,0.0,120.55339,166.88353,28.076641,116.40848,146.5176
32.556946,0.0,0.0,247.32906,275.17673,28.076641,120.55339,153.00891
32.556946,0.0,0.0,247.32906,275.17673,28.184929,132.22244,166.88353
45.324272,0.0,0.0,181.29709,276.2547,28.184929,132.22244,186.38385
37.99281,0.0,0.0,242.45758,356.13373,30.138348,132.22244,218.57619
37.99281,0.0,0.0,242.45758,854.1593,32.556946,181.29709,275.17673
37.99281,0.0,0.0,242.45758,864.3884,32.556946,242.45758,275.17673
19.536348,0.0,0.0,78.14539,839.4082,32.556946,242.45758,276.2547
155.92429,0.0,0.0,640.5709,521.10736,37.99281,242.45758,356.13373
155.92429,0.0,0.0,640.5709,652.19763,37.99281,242.45758,521.10736
156.4277,0.0,0.0,625.7108,981.4662,37.99281,247.32906,652.19763
156.4277,0.0,0.0,625.7108,981.4662,45.324272,247.32906,839.4082
90.18495,0.0,0.0,891.1279,715.0661,90.18495,625.7108,839.4082
90.18495,0.0,0.0,891.1279,948.6305,90.18495,625.7108,854.1593
67.14232,0.0,0.0,268.56927,498.23267,90.18495,625.7108,854.1593
67.14232,0.0,0.0,268.56927,668.3513,90.18495,625.7108,839.4082
187.92398,0.0,0.0,705.3783,1385.5771,155.92429,640.5709,839.4082
187.92398,0.0,0.0,705.3783,726.6688,155.92429,640.5709,726.6688
122.32828,0.0,0.0,489.3131,361.419,155.92429,640.5709,726.6688
122.32828,0.0,0.0,486.93262,552.52155,122.32828,625.7108,726.6688
122.32828,0.0,0.0,486.93262,552.52155,122.32828,625.7108,715.0661
122.32828,0.0,0.0,489.3131,431.40622,122.32828,489.3131,668.3513
5.4622145,0.0,0.0,18.03122,52.79873,122.32828,489.3131,552.52155
5.4622145,0.0,0.0,18.03122,52.79873,122.32828,486.93262,552.52155
4.045085,0.0,0.0,16.18034,403.76505,122.32828,486.93262,552.52155
124.919365,0.0,0.0,486.39005,435.8757,122.32828,486.93262,435.8757
124.919365,0.0,0.0,486.39005,564.96594,122.32828,486.93262,435.8757
124.919365,0.0,0.0,486.39005,386.2528,122.32828,486.39005,431.40622
123.25715,0.0,0.0,493.0286,762.5943,122.32828,486.39005,435.8757
65.331375,0.0,0.0,756.38696,508.1996,122.32828,486.39005,435.8757
65.331375,0.0,0.0,756.38696,509.06656,122.32828,486.39005,435.8757
71.56568,0.0,0.0,286.26273,578.3802,71.56568,486.39005,508.1996
71.56568,0.0,0.0,268.74713,578.3802,71.56568,486.39005,509.06656
69.420685,0.0,0.0,277.0204,504.87497,71.56568,486.39005,509.06656
69.420685,0.0,0.0,295.21024,420.01752,71.56568,486.39005,509.06656
0.95710677,0.0,0.0,19.338205,202.7254,71.56568,486.39005,509.06656
61.66547,0.0,0.0,246.65831,621.3936,69.420685,295.21024,509.06656
60.896866,0.0,0.0,251.38809,615.38104,69.420685,286.26273,578.3802
60.896866,0.0,0.0,251.38809,508.61032,65.331375,277.0204,509.06656
85.172386,0.0,0.0,338.93872,171.6898,69.420685,277.0204,509.06656
85.172386,0.0,0.0,338.93872,342.4633,69.420685,277.0204,508.61032
85.172386,0.0,0.0,338.93872,342.4633,69.420685,277.0204,504.87497
29.812925,0.0,0.0,119.2517,471.6668,69.420685,277.0204,471.6668
59.97204,0.0,0.0,471.02344,589.9592,61.66547,295.21024,471.6668
59.97204,0.0,0.0,471.02344,589.9592,60.896866,338.93872,508.61032
88.112854,0.0,0.0,352.45142,408.31635,61.66547,338.93872,508.61032
88.27202,0.0,0.0,351.83652,409.959,85.172386,338.93872,471.6668
88.27202,0.0,0.0,351.83652,418.15134,85.172386,351.83652,418.15134
88.27202,0.0,0.0,351.83652,185.28033,85.172386,351.83652,409.959
0.70710677,0.0,0.0,2.828427,167.33133,85.172386,351.83652,409.959
5.315592,0.0,0.0,24.023796,242.52512,85.172386,351.83652,409.959
5.315592,0.0,0.0,24.023796,242.52512,59.97204,351.83652,409.959
5.559017,0.0,0.0,22.236069,318.55713,59.97204,351.83652,408.31635
64.60251,0.0,0.0,286.73508,304.1866,64.60251,351.83652,318.55713
64.60251,0.0,0.0,286.73508,606.42535,64.60251,286.73508,318.55713
64.60251,0.0,0.0,286.73508,606.49426,64.60251,286.73508,318.55713
66.14369,0.0,0.0,264.57477,614.65326,64.60251,286.73508,318.55713
4.632864,0.0,0.0,511.91385,21.608147,64.60251,286.73508,304.1866
